ip,datetime,method,url,protocol,status,size
82.193.99.33,17/May/2015:12:05:56 +0000,GET,/blog/geekery/ssl-latency.html,HTTP/1.1,200,17147
66.249.73.135,17/May/2015:12:05:09 +0000,GET,/blog/tags/linux,HTTP/1.1,200,29219
85.170.84.143,17/May/2015:12:05:35 +0000,GET,/blog/geekery/xsendevent-xdotool-and-ld_preload.html,HTTP/1.1,200,10049
85.170.84.143,17/May/2015:12:05:30 +0000,GET,/reset.css,HTTP/1.1,200,1015
85.170.84.143,17/May/2015:12:05:45 +0000,GET,/style2.css,HTTP/1.1,200,4877
85.170.84.143,17/May/2015:12:05:20 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
85.170.84.143,17/May/2015:12:05:42 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
46.105.14.53,17/May/2015:12:05:26 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
100.43.83.137,17/May/2015:12:05:42 +0000,GET,/images/webhits-2.png,HTTP/1.1,304,0
50.131.51.216,17/May/2015:12:05:37 +0000,GET,/blog/geekery/xvfb-firefox.html,HTTP/1.1,200,10975
50.131.51.216,17/May/2015:12:05:18 +0000,GET,/reset.css,HTTP/1.1,200,1015
50.131.51.216,17/May/2015:12:05:44 +0000,GET,/style2.css,HTTP/1.1,200,4877
50.131.51.216,17/May/2015:12:05:36 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
50.131.51.216,17/May/2015:12:05:28 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
50.131.51.216,17/May/2015:12:05:01 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
209.85.238.199,17/May/2015:12:05:48 +0000,GET,/?flav=rss20,HTTP/1.1,200,29941
212.197.170.45,17/May/2015:12:05:03 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
212.197.170.45,17/May/2015:12:05:59 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
